File Name	Gallery Caption	Identification Basis	Sort Group
733443011_1399880695536006_6680311752568557163_n.jpg	Red Carpet Balloon Setup	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-10-34-47-am-3.webp	Black and Gold Event Aisle Setup	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-02-51-00-am-2.webp	Event Hall Balloon Arch	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-02-51-00-am-1.webp	Pink and Black Event Hall Setup	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-02-27-42-am-2.webp	Red and White Celebration Backdrop	Visible photo and catalogue context	Featured event setups
chatgpt-image-jul-6-2026-09-55-16-pm.webp	Red Carpet Aisle Setup	Visible photo and catalogue context	Featured event setups
chatgpt-image-jun-15-2026-02-22-57-am-5.webp	White and Gold Celebration Backdrop	Visible photo and catalogue context	Featured event setups
baby-shower-theme-2.webp	Baby Shower Backdrop Display	File name and visible photo	Baby and bridal showers
chatgpt-image-jun-14-2026-11-04-34-pm-5.webp	Baby Shower Balloon Backdrop	Visible photo and catalogue context	Baby and bridal showers
baby-shower-set-up.webp	Baby Shower Table Setup	File name and visible photo	Baby and bridal showers
bridal-shower-set-up.webp	Bridal Shower Table Setup	File name and visible photo	Baby and bridal showers
baby-shower-theme1.webp	Sage and Gold Baby Shower Display	File name and visible photo	Baby and bridal showers
birthday-theme2.webp	Black and Gold Birthday Display	File name and visible photo	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-17-36-pm-5.webp	Black and Gold Milestone Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-54-45-pm-2.webp	Black and Red Milestone Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-15-2026-03-09-55-am-8.webp	Blue Balloon Birthday Backdrop	Visible photo and catalogue context	Birthday and milestone themes
chatgpt-image-jun-14-2026-11-04-35-pm-7.webp	Carnival Birthday Display	Visible photo and catalogue context	Birthday and milestone themes
gatsby-themed-party.webp	Gatsby Milestone Party Backdrop	File name and visible photo	Birthday and milestone themes
